Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity
Landing Page Submission,Google,No,No,1,5.0,763,5.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Other Cities,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,3.0,9,3.0,SMS Sent,Supply Chain Management,Unemployed,switched off,Not Specified,Other Metro Cities,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,357,2.5,Email Opened,Business Administration,Unemployed,Ringing,Not Specified,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,196,1.0,Email Bounced,IT Projects Management,Unemployed,invalid number,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,1735,2.0,Email Opened,"Banking, Investment And Insurance",Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,1500,3.0,Other,Marketing & Advertising,Unemployed,Closed by Horizzon,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,3.0,558,3.0,Page Visited on Website,Supply Chain Management,Unemployed,Will revert after reading the email,Student of SomeSchool,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,225,2.0,Email Opened,Marketing & Advertising,Unemployed,Not doing further education,Other Leads,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,69,2.0,Email Link Clicked,Marketing & Advertising,Unemployed,invalid number,Other Leads,Mumbai,Yes,Email Link Clicked
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Interested  in full time MBA,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,91,2.0,Email Opened,Supply Chain Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,156,2.0,SMS Sent,Human Resource Management,Unemployed,Ringing,Not Specified,Other Cities,Yes,SMS Sent
API,Organic Search,No,No,0,2.0,111,2.0,Converted to Lead,Not Specified,Unemployed,Interested in other courses,Potential Lead,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,7.0,1434,7.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Other Leads,Other Cities,Yes,Email Opened
Landing Page Submission,Organic Search,No,No,1,6.0,1183,3.0,Email Opened,Supply Chain Management,Unemployed,Closed by Horizzon,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,138,5.0,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,1,2.0,1585,2.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,1486,2.0,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,Yes,No,0,3.0,303,3.0,Email Bounced,Operations Management,Unemployed,Not Specified,Not Specified,Other Cities,No,Modified
API,Google,No,No,1,5.0,567,2.5,Email Opened,International Business,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,260,5.0,SMS Sent,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,6.0,74,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Ringing,Potential Lead,Mumbai,No,Email Opened
API,Google,Yes,No,1,2.0,840,2.0,Email Bounced,Hospitality & Tourism,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,Other
Landing Page Submission,Direct Traffic,No,No,1,7.0,1143,3.5,Email Opened,Business Administration,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Opened
API,Organic Search,Yes,No,1,2.0,342,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,8.0,598,4.0,Converted to Lead,Not Specified,Student,Not Specified,Not Specified,Mumbai,No,Modified
Lead Add Form,Referral,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,1517,2.0,SMS Sent,Human Resource Management,Unemployed,Will Revert,Not Specified,Other Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,9.5,494,3.0,Email Opened,Finance & Banking,Unemployed,Ringing,Not Specified,Thane & Outskirts,Yes,Email Opened
Lead Add Form,Referral,Yes,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Lead Add Form,Other,No,No,1,1.0,846,1.0,Page Visited on Website,Not Specified,Unemployed,Closed by Horizzon,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,3.0,1199,1.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,206,3.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Not Specified,Other Cities,Yes,SMS Sent
API,Google,No,No,0,3.0,204,1.5,Converted to Lead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,3.0,427,3.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,238,1.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Google,No,No,0,2.0,1237,1.0,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Other Leads,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,1,3.0,170,3.0,SMS Sent,Supply Chain Management,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,205,3.0,SMS Sent,IT Projects Management,Unemployed,invalid number,Other Leads,Other Cities,Yes,SMS Sent
Landing Page Submission,Google,No,No,1,7.0,894,3.5,SMS Sent,International Business,Unemployed,Not Specified,Not Specified,Mumbai,Yes,SMS Sent
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Form Submitted on Website,Human Resource Management,Unemployed,Closed by Horizzon,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,1585,2.0,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,Not Specified,Other Cities,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,3.0,127,3.0,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
API,Google,No,No,1,2.0,252,2.0,Email Opened,Not Specified,Unemployed,Lost to EINS,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,1,4.0,905,4.0,SMS Sent,IT Projects Management,Unemployed,Busy,Potential Lead,Mumbai,Yes,SMS Sent
API,Google,No,No,1,8.0,88,7.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,112,3.0,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,220,5.0,Email Opened,Finance & Banking,Unemployed,invalid number,Not Specified,Mumbai,No,Email Opened
API,Google,No,No,0,6.0,310,3.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,9.5,312,2.38,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Organic Search,No,No,0,5.0,1035,2.5,Email Opened,Supply Chain Management,Unemployed,Ringing,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Organic Search,No,No,1,8.0,914,2.67,Email Opened,Hospitality & Tourism,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,9.0,278,7.0,Email Opened,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Other Cities,No,Modified
API,Organic Search,No,No,0,3.0,399,3.0,SMS Sent,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,0,8.0,159,2.67,Page Visited on Website,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Mumbai,No,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,0,3.0,457,3.0,SMS Sent,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,2.0,82,2.0,Email Opened,Hospitality & Tourism,Unemployed,invalid number,Other Leads,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,9.5,48,3.0,Page Visited on Website,Business Administration,Unemployed,Interested  in full time MBA,Not Specified,Mumbai,Yes,Page Visited on Website
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Other,Will revert after reading the email,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,3.0,990,3.0,Email Opened,Healthcare Management,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,1,9.0,87,4.5,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,7.0,1402,7.0,SMS Sent,Retail Management,Unemployed,Ringing,Not Specified,Other Cities,No,SMS Sent
Landing Page Submission,Google,No,No,0,3.0,165,3.0,Email Opened,Finance & Banking,Unemployed,Interested in other courses,Other Leads,Mumbai,No,Email Opened
Lead Add Form,Other,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,4.0,1237,2.0,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,Not Specified,Other Cities,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,1.0,45,1.0,Converted to Lead,Human Resource Management,Unemployed,Not Specified,Not Specified,Other Metro Cities,Yes,Modified
Landing Page Submission,Organic Search,No,No,0,5.0,345,2.5,Email Opened,Marketing & Advertising,Unemployed,Not Specified,Not Specified,Other Cities,Yes,Email Opened
API,Organic Search,No,No,0,4.0,16,4.0,Email Link Clicked,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Link Clicked
Landing Page Submission,Google,No,No,0,6.0,246,3.0,Page Visited on Website,Human Resource Management,Unemployed,Ringing,Not Specified,Mumbai,No,Page Visited on Website
Landing Page Submission,Organic Search,Yes,No,0,3.0,225,3.0,SMS Sent,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,1,3.0,1590,3.0,SMS Sent,IT Projects Management,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,154,4.0,Page Visited on Website,Finance & Banking,Unemployed,switched off,Other Leads,Thane & Outskirts,No,Page Visited on Website
Landing Page Submission,Google,No,No,1,5.0,1436,2.5,Email Opened,Human Resource Management,Unemployed,Not Specified,Not Specified,Other Metro Cities,No,Email Opened
Landing Page Submission,Google,No,No,0,2.0,312,2.0,Email Opened,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,106,5.0,Email Opened,Business Administration,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,8.0,170,4.0,Email Bounced,Human Resource Management,Unemployed,Already a student,Student of SomeSchool,Mumbai,Yes,Other
Lead Add Form,Other,No,No,1,0.0,0,0.0,Email Link Clicked,Not Specified,Unemployed,Closed by Horizzon,Not Specified,Not Specified,No,Email Link Clicked
Landing Page Submission,Google,No,No,1,4.0,709,4.0,Page Visited on Website,Hospitality & Tourism,Unemployed,Will revert after reading the email,Other Leads,Mumbai,No,Modified
API,Google,No,No,0,3.0,260,1.5,Olark Chat Conversation,Marketing & Advertising,Unemployed,Interested in other courses,Other Leads,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,4.0,1708,4.0,Email Opened,Business Administration,Unemployed,Ringing,Other Leads,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,12,3.0,Email Link Clicked,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Link Clicked
API,Google,No,No,0,4.0,609,2.0,Page Visited on Website,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,0,4.0,148,4.0,Email Opened,Marketing & Advertising,Unemployed,Already a student,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,2.0,271,2.0,Email Bounced,Operations Management,Unemployed,Ringing,Not Specified,Other Cities,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,3.0,89,3.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Other Metro Cities,Yes,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,1680,2.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Google,Yes,No,0,6.0,347,6.0,SMS Sent,Human Resource Management,Unemployed,Ringing,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Google,No,No,1,8.0,1620,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Organic Search,No,No,1,7.0,845,7.0,Email Link Clicked,Marketing & Advertising,Unemployed,Closed by Horizzon,Potential Lead,Thane & Outskirts,No,Email Link Clicked
Landing Page Submission,Direct Traffic,No,No,1,2.0,267,2.0,SMS Sent,E-Commerce,Not Specified,Lost to EINS,Not Specified,Mumbai,Yes,Modified
API,Direct Traffic,No,No,1,4.0,1054,1.33,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,1.0,206,1.0,Converted to Lead,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,3.0,1101,3.0,SMS Sent,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,1,2.0,1507,2.0,SMS Sent,Supply Chain Management,Unemployed,Busy,Other Leads,Thane & Outskirts,No,SMS Sent
API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,invalid number,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,84,4.0,SMS Sent,International Business,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,21,4.0,SMS Sent,E-Commerce,Unemployed,Ringing,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,Yes,No,0,3.0,154,3.0,Page Visited on Website,Hospitality & Tourism,Not Specified,Not Specified,Not Specified,Mumbai,No,Modified
Landing Page Submission,Organic Search,No,No,1,8.0,387,7.0,SMS Sent,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,1380,2.0,SMS Sent,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Other Cities,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,8.0,96,7.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Busy,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,286,5.0,SMS Sent,Human Resource Management,Unemployed,Ringing,Not Specified,Thane & Outskirts,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,5.0,1880,5.0,Email Opened,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,Not Specified,Unemployed,Graduation in progress,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,8.0,77,7.0,SMS Sent,E-Commerce,Unemployed,Ringing,Other Leads,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,2.0,416,2.0,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Other Metro Cities,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,9.5,568,5.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
API,Organic Search,No,No,1,4.0,1082,4.0,Page Visited on Website,Not Specified,Unemployed,Will revert after reading the email,Other Leads,Other Cities,No,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,4.0,426,4.0,Page Visited on Website,Finance & Banking,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,4.0,30,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,7.0,32,7.0,Email Opened,Hospitality & Tourism,Student,Already a student,Student of SomeSchool,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,431,1.0,Email Bounced,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,4.0,1276,4.0,SMS Sent,Hospitality & Tourism,Unemployed,Ringing,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,4.0,980,2.0,Page Visited on Website,Marketing & Advertising,Unemployed,Busy,Other Leads,Mumbai,Yes,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,1,4.0,1886,2.0,Email Opened,Operations Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Opened
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Google,No,No,1,9.0,185,3.0,Email Opened,Operations Management,Unemployed,Closed by Horizzon,Other Leads,Thane & Outskirts,No,Email Opened
API,Google,No,No,0,2.0,1220,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,IT Projects Management,Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,SMS Sent
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
Lead Add Form,Referral,No,No,0,0.0,0,0.0,Email Opened,Human Resource Management,Working Professional,Not doing further education,Other Leads,Not Specified,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Link Clicked,Finance & Banking,Working Professional,Closed by Horizzon,Potential Lead,Not Specified,No,Email Link Clicked
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,SMS Sent
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Finance & Banking,Unemployed,Ringing,Other Leads,Not Specified,No,Modified
API,Google,No,No,0,2.0,1217,1.0,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,5.0,236,2.5,SMS Sent,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,1486,2.0,SMS Sent,IT Projects Management,Unemployed,Will revert after reading the email,Not Specified,Other Cities,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,12,2.0,Email Opened,Other,Unemployed,Already a student,Not Specified,Other Metro Cities,Yes,Email Opened
API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,Not Specified,Student,Already a student,Student of SomeSchool,Not Specified,No,Other
Landing Page Submission,Organic Search,No,No,1,4.0,1189,4.0,SMS Sent,Business Administration,Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,SMS Sent
API,Google,No,No,1,2.0,1177,1.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Organic Search,No,No,1,4.0,918,2.0,Page Visited on Website,Other,Working Professional,Will revert after reading the email,Other Students,Not Specified,No,Page Visited on Website
API,Google,No,No,0,3.0,18,1.5,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,1105,3.0,SMS Sent,Healthcare Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,1.0,260,1.0,Converted to Lead,Marketing & Advertising,Unemployed,invalid number,Not Specified,Mumbai,Yes,Modified
API,Organic Search,No,No,1,8.0,1651,7.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,4.0,773,4.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Other Leads,Mumbai,Yes,Email Opened
API,Organic Search,No,No,1,2.0,1198,1.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,1598,2.0,SMS Sent,Finance & Banking,Working Professional,Will revert after reading the email,Potential Lead,Thane & Outskirts,Yes,SMS Sent
Lead Add Form,Other,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,177,2.0,SMS Sent,Business Administration,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,5.0,212,5.0,Email Opened,Operations Management,Unemployed,Ringing,Not Specified,Thane & Outskirts,No,Email Opened
API,Google,No,No,1,2.0,1378,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,0,6.0,425,6.0,Email Opened,Healthcare Management,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
API,Organic Search,No,No,1,4.0,976,4.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,0,2.0,746,2.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Google,No,No,0,3.0,1114,3.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,6.0,324,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Not Specified,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Organic Search,No,No,1,5.0,519,5.0,SMS Sent,IT Projects Management,Unemployed,Not Specified,Not Specified,Mumbai,No,SMS Sent
API,Google,No,No,1,3.0,1341,3.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,1136,2.5,Page Visited on Website,Business Administration,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,5,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,switched off,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,7.0,242,3.5,Page Visited on Website,Marketing & Advertising,Unemployed,Busy,Other Leads,Mumbai,No,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,0,3.0,1353,3.0,Email Opened,Supply Chain Management,Unemployed,Lost to EINS,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,682,2.0,Email Opened,Finance & Banking,Unemployed,switched off,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,5.0,1826,2.5,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,2.0,125,2.0,Other,Human Resource Management,Unemployed,Ringing,Other Leads,Mumbai,No,Other
API,Organic Search,No,No,0,4.0,956,1.33,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,1,3.0,815,1.5,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,1,5.0,1411,5.0,SMS Sent,Finance & Banking,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,SMS Sent
Landing Page Submission,Google,No,No,1,7.0,1010,2.33,SMS Sent,Other,Unemployed,Will revert after reading the email,Not Specified,Thane & Outskirts,No,SMS Sent
Landing Page Submission,Organic Search,No,No,0,3.0,1174,3.0,Converted to Lead,Supply Chain Management,Unemployed,switched off,Not Specified,Other Cities,Yes,Modified
API,Google,No,No,0,3.0,100,1.5,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Lead Add Form,Other,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Lost to EINS,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,3.0,1678,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,7.0,1164,7.0,SMS Sent,Hospitality & Tourism,Not Specified,Not Specified,Not Specified,Mumbai,Yes,SMS Sent
API,Google,No,No,1,2.0,139,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,296,1.0,Email Bounced,"Banking, Investment And Insurance",Unemployed,Ringing,Not Specified,Mumbai,No,Modified
API,Google,No,No,1,3.0,1510,3.0,Email Opened,Hospitality & Tourism,Unemployed,Will revert after reading the email,Potential Lead,Other Metro Cities,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,8.0,1255,7.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
API,Organic Search,No,No,0,4.0,153,4.0,SMS Sent,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,231,4.0,Form Submitted on Website,Operations Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,4.0,1502,2.0,SMS Sent,Business Administration,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,308,4.0,SMS Sent,Human Resource Management,Unemployed,Ringing,Not Specified,Other Metro Cities,Yes,SMS Sent
